age,gender,marriage,city,channel,before_ev,part_ev,after_ev
47,1,0,11,4,1,5,0
38,0,0,4,5,0,4,0
53,0,1,9,4,0,3,0
63,0,0,4,4,0,0,0
60,1,1,2,2,1,3,0
35,0,0,2,7,0,1,0
29,0,0,7,7,1,4,0
40,1,1,1,3,1,3,1
29,0,0,14,5,0,0,0
45,1,0,11,6,1,1,1
31,0,1,9,1,0,0,0
40,1,0,13,9,1,2,1
41,0,1,8,2,1,6,0
42,1,1,15,10,0,1,0
38,1,0,4,6,0,0,0
27,0,0,16,10,0,6,1
53,0,0,6,4,1,3,0
44,0,0,2,5,0,3,0
48,1,1,16,11,0,5,0
25,0,1,4,8,1,2,0
32,0,1,7,5,1,0,1
43,1,1,6,2,0,1,1
55,1,1,12,9,1,2,0
28,0,1,9,10,1,5,1
46,1,0,7,3,1,6,1
39,1,0,16,11,1,3,0
25,1,0,10,9,1,6,0
53,0,0,11,11,1,5,1
36,0,1,12,7,0,3,0
39,0,0,16,7,0,1,0
60,1,1,2,10,1,3,0
53,0,0,5,4,1,5,0
51,1,1,5,3,0,1,1
65,0,1,4,2,1,6,0
38,0,0,1,8,0,4,0
50,0,0,8,2,1,0,0
59,1,1,9,4,1,0,0
40,1,0,4,10,0,3,1
62,1,0,8,8,1,5,0
47,0,1,7,5,1,3,0
55,0,0,2,6,1,6,0
37,0,0,8,7,0,0,0
46,1,0,14,10,1,1,0
26,0,0,1,8,0,2,0
26,0,0,14,0,1,5,1
34,0,1,2,10,0,3,1
35,0,1,5,11,1,4,1
40,1,1,6,2,0,1,0
25,1,0,10,4,0,1,0
37,0,0,10,3,0,3,1
57,1,1,4,8,1,2,1
61,1,1,6,4,0,6,1
32,0,1,8,9,1,5,0
63,0,0,13,2,1,3,0
57,0,0,4,1,1,5,0
58,0,1,3,2,1,0,0
43,0,0,7,11,1,4,1
31,1,1,11,11,0,2,0
53,1,1,6,1,1,6,0
55,0,0,1,1,1,2,0
49,1,0,0,0,1,3,0
30,0,0,5,9,0,5,0
35,1,1,8,1,0,1,1
28,1,0,2,6,1,0,1
64,0,1,4,3,1,1,0
42,0,0,1,1,1,4,1
33,0,0,16,6,1,5,0
27,1,0,11,11,1,6,0
29,1,1,16,4,1,0,0
63,0,1,7,10,1,4,1
51,0,1,16,11,1,1,1
65,1,1,4,3,1,6,0
63,0,0,2,0,0,3,0
32,1,0,12,10,1,1,0
36,1,0,6,6,1,1,0
32,1,1,7,6,0,0,1
55,0,0,5,3,0,6,0
36,1,0,5,5,1,2,1
30,0,0,9,9,1,3,0
55,1,1,1,11,0,0,1
45,0,0,14,9,0,6,1
56,1,1,1,1,1,2,0
27,0,0,6,10,0,2,0
55,1,0,10,5,1,5,0
35,1,0,10,10,0,6,0
32,1,0,6,4,1,5,0
53,1,1,10,7,0,6,0
62,0,1,4,7,0,0,0
51,1,0,9,4,1,2,0
44,1,1,12,11,1,5,0
41,0,0,1,11,1,1,0
49,0,1,16,9,1,6,0
55,0,1,5,5,1,5,1
62,0,0,15,5,1,6,0
56,0,1,2,5,0,4,0
61,0,0,12,3,0,4,0
65,1,0,0,2,0,2,0
57,1,0,14,0,1,3,0
30,1,0,6,3,0,6,1
53,0,1,2,7,0,0,0
26,0,0,5,2,1,2,0
51,0,0,10,10,0,6,1
25,1,0,0,2,0,6,0
49,0,0,13,7,0,1,1
56,1,1,13,0,1,0,0
39,0,0,3,8,0,3,0
37,1,1,6,0,1,3,1
44,0,1,3,7,1,1,0
28,1,1,11,2,1,6,0
53,1,0,2,10,0,6,0
41,0,1,15,9,0,3,1
36,0,0,1,1,1,4,0
64,1,1,0,11,0,0,0
